RMOWNHH,OMB13CBSA,DIVISION,HHSEX,HHMAR,HHCITSHP,HHAGE,HHRACE,HHGRAD,NUMPEOPLE,HINCP
'-6','37980','5','1','1','1',52,'01','44',3,257000
'-6','99998','1','2','4','1',80,'01','44',2,201000
'-6','99998','7','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','7','1','1','1',72,'01','47',2,66900
'1','99998','4','2','6','1',60,'02','40',1,35000
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','4','2','3','1',80,'01','39',2,20400
'-6','99998','7','1','6','1',30,'02','43',2,14400
'-6','37980','5','2','4','1',60,'01','44',1,66000
'-6','37980','5','2','4','1',50,'01','44',3,81200
'2','99998','5','2','4','1',65,'03','41',1,9300
'1','99998','1','2','4','1',55,'01','34',1,12400
'2','99998','1','2','1','1',35,'01','40',4,57100
'-6','99998','4','2','4','1',68,'01','43',1,24600
'-6','37980','5','1','1','1',54,'01','45',2,140000
'-6','37980','5','2','1','1',62,'01','44',2,103900
'2','99998','5','2','6','4',72,'02','33',2,6000
'-6','99998','5','1','4','1',38,'02','39',1,43000
'-6','99998','1','2','1','1',41,'01','39',4,33000
'-6','99998','4','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','7','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','37980','5','1','1','1',72,'01','45',3,400000
'-6','99998','5','2','4','1',72,'01','39',1,11000
'2','99998','1','2','6','1',24,'01','44',2,42000
'-6','99998','7','2','6','1',57,'02','44',1,8900
'-6','99998','7','2','4','1',78,'02','40',1,16600
'-6','37980','5','1','1','1',60,'01','40',3,385000
'-6','37980','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','1','1','5',39,'01','33',4,59000
'-6','99998','1','1','6','1',28,'02','39',1,30000
'-6','99998','4','2','4','1',60,'01','39',3,29900
'-6','99998','7','2','3','1',79,'01','43',1,58500
'-6','37980','5','1','6','1',51,'01','43',1,88000
'-6','99998','4','2','1','1',40,'01','43',5,80000
'-6','99998','5','1','1','1',60,'01','40',2,55000
'-6','99998','1','2','6','1',57,'01','45',2,25000
'-6','99998','7','1','6','1',28,'01','44',1,0
'-6','99998','4','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','7','1','6','1',32,'01','44',1,17000
'-6','37980','5','1','4','1',63,'01','41',3,89250
'-6','37980','5','1','6','1',51,'01','38',2,10000
'-6','99998','5','2','6','1',40,'02','40',4,81000
'-6','99998','1','2','4','1',56,'01','44',1,13000
'-6','99999','4','1','1','1',53,'01','41',6,32750
'2','99998','1','2','6','1',31,'01','45',4,170000
'-6','99998','7','1','6','1',33,'02','40',4,23000
'-6','99998','7','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','7','2','3','1',71,'01','41',1,33000
'-6','37980','5','2','3','1',70,'01','44',1,25000
'1','37980','5','2','2','1',43,'02','39',2,35000
'-6','37980','5','2','3','1',80,'01','39',1,16000
'-6','99998','5','2','4','1',50,'01','44',1,23000
'-6','99998','1','1','4','1',64,'01','39',2,114000
'-6','99998','4','1','6','1',38,'01','40',1,32000
'2','99998','4','1','1','4',51,'01','38',2,35800
'-6','99998','7','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','2','1','1',58,'01','40',2,50000
'-6','47900','5','1','6','1',61,'03','36',1,26000
'-6','47900','5','2','6','1',28,'01','46',2,98500
'-6','47900','5','1','6','1',78,'02','34',1,11250
'1','99998','9','2','1','1',35,'04','45',2,89000
'-6','47900','5','1','6','4',52,'04','45',1,130000
'2','47900','5','2','4','5',46,'01','41',2,4200
'-6','99998','6','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','47900','5','1','1','3',42,'04','47',5,522000
'-6','47900','5','2','3','1',69,'02','36',1,0
'-6','47900','5','2','6','5',38,'01','47',1,382000
'-6','47900','5','-6','-6','-6',-6,'-6','-6',-6,-6
'1','99998','9','2','6','1',25,'01','39',3,46000
'-6','99998','9','1','6','5',32,'04','40',2,8500
'-6','99999','6','1','4','1',76,'02','36',1,9800
'-6','99999','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','9','1','3','1',49,'01','39',6,218600
'-6','47900','5','2','1','5',34,'01','33',5,60000
